region_complete,lat,long
Côtes de Provence La Londe  ,51.533731,-0.096727
Monferrato  ,44.916670,8.083330
Veronese  ,45.191910,11.553940
Cheverny  ,47.499620,1.459800
Montecucco  ,45.616670,10.550000
Apremont  ,46.749580,-1.740330
Marsannay  ,46.552030,5.661830
Quebec  ,46.812730,-71.219300
Bardolino  ,45.550610,10.722270
Monterey-Santa Cruz Central Coast,26.238550,-81.779555
Polk County Oregon Other,44.903535,-123.413252
Malibu-Newton Canyon South Coast,34.080132,-118.804864
Central Coast  ,-33.423740,151.342500
Côte de Nuits-Villages  ,37.949020,-76.604120
Padthaway  ,-36.601120,140.492890
Suisun Valley North Coast,-24.716670,152.283330
Ramona Valley South Coast,33.705043,-117.878268
New Jersey  ,39.613348,-74.728565
Hautes Côtes de Nuits  ,45.184160,2.941590
Mâcon Solutré  ,46.300950,4.817575
Vosne-Romanée  ,47.153560,4.958300
Recioto della Valpolicella Classico  ,23.131920,72.232090
Murray-Darling  ,-33.872815,151.197255
Crozes-Hermitage  ,45.090410,4.846040
Gravina  ,39.606280,16.196810
Orvieto  ,42.717350,12.104580
Prosecco Treviso  ,45.902244,12.100811
Chardonnay di Toscana  ,-29.164720,-51.170300
Faugères  ,44.475290,4.135480
Ribeiro  ,-3.458060,-42.482220
Columbia Valley (OR) Oregon Other,45.940337,-123.090815
Côtes de Nuits Villages  ,39.471593,-88.168083
Brachetto d'Acqui  ,21.981750,-99.011520
Middleburg  ,30.066770,-81.866740
Côtes du Rhône Villages  ,45.521711,4.664137
Mendocino-Solano North Coast,39.406397,-123.355608
Canada  ,60.108670,-113.642580
Adelaide  ,-34.925850,138.599800
Cabernet d'Anjou  ,45.602180,-73.559600
Vin de Pays des Collines de la Moure  ,32.968495,-93.452525
Isola dei Nuraghi  ,40.709300,9.699030
Côtes de Bordeaux  ,44.774670,-0.410690
San Juan  ,18.466330,-66.104730
Saint-Péray  ,44.944150,4.840400
Monreale  ,38.082460,13.292630
Spring Mountain District Napa,38.976181,-77.019110
Ribera del Duero  ,-33.894380,-60.550340
Fort Ross-Seaview Sonoma,38.516370,-123.240870
Côtes de Castillon  ,44.304930,0.591640
Corton Les Lolières  ,46.424840,4.913110
Conca de Barberà  ,41.400000,1.250000
Vin Doux Naturel Rasteau  ,44.229470,4.986070
Vino de la Tierra Ribera del Gállego-Cinco Villas  ,29.894140,-91.755140
Sainte-Foy Bordeaux  ,51.930990,11.474890
San Carlos  ,9.661750,-68.591580
Terrazze Retiche di Sondrio  ,46.138730,9.611790
Vino de la Tierra Ribera del Jiloca  ,29.894140,-91.755140
Moscadello di Montalcino  ,43.055160,11.491290
Sonoma County-Napa County Napa-Sonoma,38.528618,-122.887397
Arcole  ,35.720000,-0.545000
Ribeira Sacra  ,42.418130,-7.676700
Central Coast ,-33.423740,151.342500
Columbia Valley (WA) Columbia Valley,46.159610,-122.972690
Lago di Corbara  ,46.549890,11.869700
McDowell Valley Mendocino/Lake Counties,38.975574,-123.100143
Côtes-du-Ventoux  ,44.018770,5.109460
Dolcetto d'Acqui  ,42.935710,-81.316610
Temecula South Coast,33.533992,-117.053805
Romagna  ,44.500000,12.250000
Edna Valley Central Coast,-33.263514,151.491540
Priorat  ,41.072620,1.153140
Martina  ,22.116670,-84.066670
Beneventano  ,36.824100,14.804140
Marin County North Coast,38.038593,-122.868481
Saint-Romain  ,45.783370,-71.099070
Gippsland  ,-38.000000,147.500000
McLaren Vale-Beechworth  ,-36.361880,146.683860
Mentrida  ,40.236460,-4.194210
Bardolino Classico Superiore  ,45.550610,10.722270
Bordeaux Supérieur  ,44.836700,-0.581070
Volnay  ,47.001030,4.782300
Grand Valley  ,43.901480,-80.315880
Salta  ,-24.788640,-65.410230
Côtes du Roussillon Villages  ,43.960170,7.156930
Côtes du Rhône  ,46.230680,4.422350
La Mancha  ,33.938990,-84.041300
Bourgogne Epineuil  ,47.872620,3.977570
Côtes de Bergerac  ,44.858690,0.503260
Falerio  ,42.228410,12.446870
Shenandoah Valley (CA) Sierra Foothills,38.675691,-121.341212
Crémant d'Alsace  ,33.979020,-118.414180
Fiano di Avellino  ,40.912170,14.792880
Vin de Pays de la Méditerranée  ,43.697400,7.261600
Trentino  ,9.816670,-70.216670
Chiroubles  ,46.180840,4.663640
Entre-Deux-Mers  ,44.800000,-0.283330
Teroldego Rotaliano  ,46.197920,11.100500
Chambolle-Musigny  ,47.184950,4.952410
Ghemme  ,45.597910,8.421220
Napa-Mendocino-Sonoma North Coast,39.406397,-123.355608
Alcamo  ,37.974410,12.959810
Liguria  ,44.415350,9.427370
Vin de Pays des Coteaux de Peyriac  ,18.205770,-74.040530
Colli Bolognesi  ,44.454506,11.318354
Ramandolo  ,46.216990,13.266860
Siskiyou County California Other,41.592564,-122.540777
Charmes-Chambertin  ,50.676470,5.883540
Amador-Napa California Other,38.446065,-120.651755
Prosecco di Valdobbiadene  ,45.901260,11.995660
Montecarlo  ,43.738320,7.426950
Côte Rôtie  ,44.728150,-0.389760
Donnici  ,43.732000,11.501060
Sonoma Valley Sonoma,38.293998,-122.476142
Vermentino di Gallura  ,43.257220,76.944570
Vin de Pays du Lot  ,44.624613,1.605539
Cirò  ,39.382010,17.063360
Clairette de Bellegarde  ,43.757460,4.520860
Atlas Peak Napa,38.387784,-122.243168
Gattinara  ,45.629240,8.371800
Picpoul de Pinet  ,43.406797,3.508867
Rías Baixas  ,-37.256540,-56.969560
Contessa Entellina  ,37.729790,13.182890
Kentucky  ,37.527233,-85.287620
Yamhill-Carlton District Willamette Valley,45.294200,-123.176830
Vin de Pays des Coteaux de Bessilles  ,46.301391,-0.514943
New Mexico  ,34.421327,-106.108404
Napa-Carneros Napa,38.255080,-122.335440
Taburno  ,41.075330,14.617220
Erbaluce di Caluso  ,45.296390,7.889140
Calabria  ,39.068082,16.347670
Prosecco di Valdobbiadene Superiore  ,45.901260,11.995660
Lime Kiln Valley Central Coast,-33.320255,151.389007
Candia Dei Colli Apuani  ,35.342450,25.153340
Horse Heaven Hills Columbia Valley,48.168059,-106.594687
Chorey-lès-Beaune  ,47.047660,4.866490
Vino de Mesa  ,33.404953,-111.591511
Verduno  ,44.666330,7.934630
Touraine Mesland  ,47.500920,1.123679
Emilia  ,-31.062300,-60.747170
Clements Hills Central Valley,44.915624,-116.085430
Vermentino di Toscana  ,42.925070,10.839560
Vouvray  ,47.412030,0.798910
Collines Rhôdaniennes  ,8.128982,2.208592
Coteaux du Layon La Faye  ,18.205770,-74.040530
Veneto  ,45.654925,11.854320
Chassagne-Montrachet  ,46.937300,4.732350
Mâcon-Cruzille  ,45.498880,4.044570
Passito di Pantelleria  ,36.789982,11.958687
Morgon  ,45.982570,4.644950
Copertino  ,40.273310,18.049520
